City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dauphin,51.1494,-100.0502,274.23,100,100,4.63,CA,1707114764
1,port elizabeth,-33.918,25.5701,297.77,80,0,1.03,ZA,1707114764
2,bela vista,-22.1089,-56.5211,295.14,84,7,2.14,BR,1707114764
3,waitangi,-43.9535,-176.5597,291.94,82,70,0.45,NZ,1707115201
4,mil'kovo,55.6078,37.7956,271.42,97,100,2.21,RU,1707114765
5,ribeira grande,38.5167,-28.7,290.8,96,100,7.15,PT,1707114765
6,san pedro,14.35,121.0167,305.72,65,40,4.63,PH,1707114765
7,constantia,44.1833,28.65,279.65,78,100,7.62,RO,1707114765
8,blackmans bay,-43.0167,147.3167,294.22,39,60,6.84,AU,1707115200
9,praia da vitoria,38.7333,-27.0667,290.29,94,75,7.72,PT,1707114766
10,alofi,-19.0595,-169.9187,301.09,78,53,4.63,NU,1707114766
11,grytviken,-54.2811,-36.5092,276.28,73,95,4.93,GS,1707115205
12,luganville,-15.5333,167.1667,302.34,81,89,1.16,VU,1707114766
13,qaqortoq,60.7167,-46.0333,251.53,66,0,2.73,GL,1707114561
14,lethbridge,49.7,-112.8186,265.42,92,0,3.09,CA,1707114767
15,port-aux-francais,-49.35,70.2167,278.73,72,90,9.5,TF,1707115204
16,porto belo,-27.1578,-48.5531,298.76,100,100,2.05,BR,1707114767
17,bamboo flat,11.7,92.7167,303.2,66,20,4.12,IN,1707114767
18,reyes,-14.3167,-67.3833,295.73,95,87,0.86,BO,1707114768
19,adamstown,-25.066,-130.1015,298.16,82,100,3.4,PN,1707115063
20,bilibino,68.0546,166.4372,240.09,89,5,1.05,RU,1707114768
21,luwuk,-0.9516,122.7875,303.64,65,100,0.53,ID,1707114768
22,pathein,16.7833,94.7333,305.88,21,5,6.44,MM,1707114768
23,muisne,0.6,-80.0333,298.22,91,83,1.19,EC,1707114769
24,mata-utu,-13.2816,-176.1745,301.84,76,100,4.66,WF,1707114769
25,palu,-0.8917,119.8707,300.78,87,100,1.95,ID,1707114769
26,tura,25.5198,90.2201,295.0,32,99,1.97,IN,1707114770
27,ilulissat,69.2167,-51.1,251.16,54,3,2.06,GL,1707115205
28,pontal do parana,-25.6533,-48.5128,294.59,89,54,1.65,BR,1707114770
29,udachny,66.4167,112.4,250.62,69,94,1.95,RU,1707114770
30,bardai,11.65,7.2333,289.29,17,97,7.38,NG,1707114770
31,puerto ayora,-0.7393,-90.3518,296.79,100,92,0.45,EC,1707114771
32,spring creek,40.7266,-115.5859,274.98,86,100,0.45,US,1707114771
